year,region,type,price
1996,Kansas,TopTier,NaN
1996,Kentucky,1bedroom,51944.44
1996,Kentucky,2bedroom,66833.33
1996,Kentucky,3bedroom,82166.67
1996,Kentucky,4bedroom,133044.44
1996,Kentucky,5BedroomOrMore,154700
1996,Kentucky,BottomTier,48788.89
1996,Kentucky,CondoCoop,82822.22
1996,Kentucky,MiddleTier,77700
1996,Kentucky,House,77366.67
1996,Kentucky,TopTier,136755.56
1996,Louisiana,1bedroom,NaN
1996,Louisiana,2bedroom,NaN
1996,Louisiana,3bedroom,79044.44
1996,Louisiana,4bedroom,NaN
1996,Louisiana,5BedroomOrMore,NaN
1996,Louisiana,BottomTier,47466.67
1996,Louisiana,CondoCoop,NaN
1996,Louisiana,MiddleTier,NaN
1996,Louisiana,House,NaN
1996,Louisiana,TopTier,NaN
1996,Maine,1bedroom,NaN
1996,Maine,2bedroom,79177.78
1996,Maine,3bedroom,92488.89
1996,Maine,4bedroom,115466.67
1996,Maine,5BedroomOrMore,138411.11
1996,Maine,BottomTier,59900
1996,Maine,CondoCoop,77288.89
1996,Maine,MiddleTier,87655.56
1996,Maine,House,88566.67
1996,Maine,TopTier,141233.33
1996,Maryland,1bedroom,75188.89
1996,Maryland,2bedroom,89388.89
1996,Maryland,3bedroom,119188.89
1996,Maryland,4bedroom,172100
1996,Maryland,5BedroomOrMore,232611.11
1996,Maryland,BottomTier,75277.78
1996,Maryland,CondoCoop,108033.33
1996,Maryland,MiddleTier,126433.33
1996,Maryland,House,132300
1996,Maryland,TopTier,209266.67
1996,Massachusetts,1bedroom,81777.78
1996,Massachusetts,2bedroom,107833.33
1996,Massachusetts,3bedroom,137766.67
1996,Massachusetts,4bedroom,196311.11
1996,Massachusetts,5BedroomOrMore,251666.67
1996,Massachusetts,BottomTier,88433.33
1996,Massachusetts,CondoCoop,104488.89
1996,Massachusetts,MiddleTier,138700
1996,Massachusetts,House,145611.11
1996,Massachusetts,TopTier,230944.44
1996,Michigan,1bedroom,65644.44
1996,Michigan,2bedroom,76044.44
1996,Michigan,3bedroom,98777.78
1996,Michigan,4bedroom,168700
1996,Michigan,5BedroomOrMore,163566.67
1996,Michigan,BottomTier,54755.56
1996,Michigan,CondoCoop,115455.56
1996,Michigan,MiddleTier,87511.11
1996,Michigan,House,85533.33
1996,Michigan,TopTier,154411.11
1996,Minnesota,1bedroom,59677.78
1996,Minnesota,2bedroom,84311.11
1996,Minnesota,3bedroom,100688.89
1996,Minnesota,4bedroom,128844.44
1996,Minnesota,5BedroomOrMore,163133.33
1996,Minnesota,BottomTier,62311.11
1996,Minnesota,CondoCoop,90600
1996,Minnesota,MiddleTier,96200
1996,Minnesota,House,97033.33
1996,Minnesota,TopTier,155344.44
1996,Mississippi,1bedroom,NaN
1996,Mississippi,2bedroom,NaN
1996,Mississippi,3bedroom,71866.67
1996,Mississippi,4bedroom,122933.33
1996,Mississippi,5BedroomOrMore,127133.33
1996,Mississippi,BottomTier,40522.22
1996,Mississippi,CondoCoop,NaN
1996,Mississippi,MiddleTier,64933.33
1996,Mississippi,House,64933.33
1996,Mississippi,TopTier,113233.33
1996,Missouri,1bedroom,48755.56
1996,Missouri,2bedroom,60566.67
1996,Missouri,3bedroom,89111.11
1996,Missouri,4bedroom,152888.89
1996,Missouri,5BedroomOrMore,188966.67
1996,Missouri,BottomTier,51011.11
1996,Missouri,CondoCoop,75011.11
1996,Missouri,MiddleTier,82800
1996,Missouri,House,83533.33
1996,Missouri,TopTier,144955.56
